Density,RoomCount
0,390248,8166
0,401356,8351
0,388008,8122
0,391766,8122
0,386717,8176
0,388871,8225
0,390621,8244
0,389398,8166
0,393,8210
0,391144,8283
0,389948,8183
0,38825,8138
0,387479,8304
0,383502,8012
0,390602,8282
0,387437,8151
0,402516,8556
0,388462,8132
0,400161,8571
0,399065,8345
0,394233,8325
0,389537,8090
0,389483,8388
0,397206,8438
0,385359,8165
0,388254,8141
0,388138,8114
0,390974,8304
0,402539,8511
0,39706,8424
0,396583,8323
0,382084,8002
0,389644,8104
0,395403,8315
0,389852,8294
0,39139,8331
0,39355,8251
0,38588,8069
0,39801,8332
0,384596,8192
0,388379,8102
0,390507,8205
0,384147,8066
0,393976,8240
0,388001,8133
0,390124,8149
0,392238,8544
0,395067,8321
0,396446,8444
0,38944,8335
0,392669,8139
0,395951,8399
0,385161,8198
0,393038,8168
0,396093,8590
0,396648,8256
0,397842,8469
0,397048,8485
0,383699,8153
0,383735,8384
0,391573,8312
0,39011,8324
0,396639,8287
0,393206,8153
0,395906,8343
0,391211,8306
0,396555,8290
0,390454,8175
0,386911,8182
0,391251,8435
0,391574,8266
0,391699,8272
0,384917,8027
0,393438,8361
0,391127,8324
0,386119,8218
0,393706,8198
0,386546,8178
0,388082,8217
0,394965,8333
0,388969,8312
0,390396,8270
0,392422,8390
0,396217,8592
0,386154,8152
0,387328,8256
0,395298,8314
0,387642,8264
0,384042,8170
0,378872,8037
0,378968,8023
0,394053,8390
0,387866,8082
0,389022,8209
0,38938,8245
0,383377,8158
0,387877,8216
0,395103,8416
0,389846,8239
0,399838,8472
0,386595,8216
0,38124,8045
0,395065,8189
0,399999,8551
0,402058,8518
0,392489,8285
0,379778,8045
0,396388,8351
0,396644,8495
0,382071,8060
0,391528,8203
0,398952,8420
0,385991,8175
0,388795,8228
0,385276,8089
0,39074,8294
0,394309,8129
0,394574,8420
0,39711,8392
0,395953,8247
0,39326,8304
0,392882,8262
0,387392,8136
0,386098,8190
0,398823,8472
0,39541,8349
0,379276,7951
0,392734,8362
0,389314,8259
0,397617,8360
0,390284,8216
0,382055,8090
0,383815,8204
0,385021,7970
0,395499,8288
0,395954,8459
0,383728,7981
0,390252,8267
0,392587,8337
0,39117,8148
0,384201,8072
0,393243,8256
0,401828,8486
0,387581,8319
0,393914,8432
0,394515,8371
0,387887,8263
0,392056,8305
0,391238,8356
0,399212,8437
0,390954,8344
0,391195,8104
0,389893,8139
0,386069,8292
0,38238,8061
0,389782,8256
0,397244,8411
0,392111,8325
0,388456,8233
0,37297,7931
0,389883,8286
0,393336,8238
0,389404,8207
0,392897,8136
0,390526,8341
0,3907,8279
0,391652,8181
0,395992,8246
0,387096,8222
0,392188,8253
0,396182,8374
0,389399,8216
0,392954,8286
0,396588,8192
0,391578,8444
0,388674,8357
0,394485,8337
0,391489,8143
0,397195,8414
0,386334,8099
0,388514,8151
0,395025,8293
0,375422,7956
0,399083,8574
0,390158,8118
0,388465,8252
0,38521,8127
0,393498,8190
0,393001,8223
0,402394,8451
0,387544,8237
0,388591,8285
0,38497,8184
0,388027,8264
0,393282,8395
0,393103,8284
0,392247,8471
0,400043,8546
0,384599,8179
0,384294,8137
0,396688,8327
0,383694,8269
0,39148,8216
0,389241,7889
0,390971,8188
0,393456,8239
0,387083,8152
0,400231,8455
0,39156,8290
0,382922,8075
0,398309,8519
0,383401,8114
0,394839,8341
0,390014,8254
0,37499,7921
0,392315,8391
0,389053,8134
0,38996,8152
0,388987,8342
0,383517,8098
0,38158,7989
0,387492,8372
0,40194,8477
0,383866,8133
0,390548,8194
0,381825,8077
0,389144,8150
0,400034,8255
0,393639,8242
0,385368,8230
0,398316,8332
0,379982,8092
0,394562,8420
0,398412,8511
0,383718,8288
0,394709,8368
0,38779,8133
0,398567,8313
0,393717,8291
0,39305,8375
0,386708,8043
0,3922,8232
0,389067,8083
0,390823,8224
0,386956,8001
0,386029,8232
0,396764,8446
0,392695,8193
0,391531,8479
0,386026,8276
0,389276,8256
0,396922,8443
0,393489,8218
0,389514,8291
0,385431,8217
0,390087,8338
0,395681,8276
0,392178,8486
0,388685,8312
0,387727,8066
0,39317,8437
0,39534,8341
